t,range
343.918,0.4210618890138198
344.018,0.4269006426252517
344.118,0.43304448591820577
344.218,0.42716077080734194
344.318,0.41978195438930666
344.418,0.42717239912477556
344.518,0.4123737206451844
344.618,0.4156553114911856
344.818,0.4210928085148966
344.918,0.41630335976862004
345.018,0.4134480667119763
345.218,0.4039665596503572
345.318,0.3894411169063137
345.418,0.361130701898722
345.519,0.3442294793449177
345.718,0.29327734011054735
345.918,0.24518677245582093
346.018,0.2291365254493093
346.118,0.2152804414078852
346.318,0.1925784848404263
346.418,0.16088769522725294
346.518,0.15166879444033948
346.618,0.13549361090346296
346.818,0.0759374601497241
346.918,0.08767732925249026
347.018,0.04721618942317051
347.218,0.04250448540668183
347.318,0.037002385546563016
347.518,0.058858412920390124
347.618,0.06013704829488786
347.818,0.033376759095054026
347.918,0.02999564590064018
348.018,0.04226029269848067
348.118,0.0468141383172655
348.218,0.053350512590511
348.419,0.06003927661242438
348.518,0.0464694334897489
348.618,0.04146981823015222
348.818,0.047539893180347174
348.918,0.05662889881168115
349.118,0.10227351484637806
349.218,0.08981560577889929
349.418,0.06672638114474204
349.518,0.09825229868788146
349.718,0.1171796623813134
349.818,0.13502494284547156
349.919,0.11688176856545304
350.118,0.16901112876485977
350.218,0.20024964894501412
350.418,0.1674732522867492
350.518,0.1809566796772047
350.618,0.17587361042507463
350.818,0.17415084786407417
350.918,0.19715019684095042
351.018,0.16395033632182224
351.218,0.16812616357379068
351.318,0.17355677375746367
351.518,0.1862314281724668
351.618,0.1803762937494523
351.818,0.15247862352280267
351.918,0.14930492255871894
352.018,0.178770121273641
352.118,0.15086032401524638
352.318,0.12707693092893718
352.418,0.10552904347819331
352.518,0.0840137362371889
352.718,0.07589803432775495
352.818,0.06610610029471345
352.918,0.08311364252927401
353.018,0.050581138815485
353.118,0.043603860410723255
353.218,0.054286252859530995
353.318,0.055962499404706746
353.418,0.07109833427005621
353.518,0.046320684357870914
353.718,0.04897219831204504
353.818,0.02549701814710014
353.918,0.04934051550005039
354.118,0.006427629712786841
354.218,0.05250933753977924
354.318,0.011524482298210311
354.518,0.0380095485068267
354.618,0.031361062325537155
354.819,0.031076765149553057
354.918,0.02235818650208829
355.018,0.01739560367120964
355.118,0.011771580994008367
355.218,0.010045751638588687
355.318,0.025978688968234707
355.518,-0.007674157374051716
355.618,0.02706848567869645
355.718,0.026063654416397308
355.818,0.021917427916184062
355.918,0.05596341993408574
356.018,0.039018838522811315
356.218,0.03139343363662776
356.318,0.03814869661027406
356.418,0.04212890103409933
356.618,0.024200871772357902
356.718,0.03336638215860659
356.818,0.03824608071283525
357.018,0.026751020246746797
357.118,0.04862382394251204
357.318,0.014661060435207651
357.418,0.02477902370874133
357.518,0.03860171731505606
357.718,0.051747521625318454
357.818,0.03493432288146804
358.018,0.019932536775292088
358.118,0.018721625118757825
358.218,0.03164407129706127
358.418,0.009514478651921045
358.518,0.05180351048097049
358.718,0.002335553909503338
358.818,0.037393310616974665
358.918,0.027800651810568497
359.118,0.04673458490957347
359.218,0.029708269357873667
359.418,0.04482310788894641
359.518,0.06045140451860406
359.618,0.03428797348687179
359.818,0.04475226142755907
359.918,0.07582104277649104
360.118,0.038014202752590626
360.218,0.039162764852988
360.318,0.049852635047181126
360.418,0.04952935332815333
360.518,0.06524099291454001
360.618,0.03824136058170989
360.818,0.07430307377540765
360.918,0.09125330764541109
361.118,0.09940597196573919
361.218,0.12315071004034144
361.318,0.1483351228065417
361.518,0.22074203695100114
361.618,0.30061958363383445
361.718,0.42595544933978813
361.918,0.4095546461540294
362.018,0.4199516160594141
362.218,0.4150417650306961
362.318,0.4088076541878202
362.518,0.4215631005215972
362.618,0.432315978640056
362.718,0.4341458075347833
362.918,0.4251081809729922
363.018,0.42472932360377574
363.118,0.4228567256575267
363.318,0.42543940625895604
363.418,0.42172329691688826
363.518,0.4160826588121514
363.718,0.43213840800061964
363.818,0.42636263475756375
364.018,0.4238377452830515
364.118,0.431201550339948
364.218,0.4325831842303079
364.418,0.4112934566869063
364.518,0.4451509526884667
364.718,0.42938514290515195
364.818,0.41305479624376845
365.018,0.4176295516930477
365.118,0.4214359825673916
365.218,0.4224830120713916
365.418,0.4327168904105421
365.518,0.42009898747255897
365.618,0.42495901006643966
365.719,0.43524308367848796
365.819,0.43041607720602
365.919,0.4243911415703708
366.119,0.4392609907333076
366.219,0.4438237002096817
366.419,0.40686637726042996
366.519,0.37595160318172144
366.619,0.33058266292964217
366.819,0.32534979954274174
366.919,0.34176171358372687
367.019,0.3425752347765981
367.119,0.3328963059178171
367.219,0.3399106940998218
367.319,0.3314754215334392
367.419,0.31181567904655577
367.519,0.3400669269255605
367.619,0.32837638475880676
367.719,0.32300946700083705
367.919,0.33580644351113187
368.019,0.33783632796282753
368.219,0.31628230718423966
368.319,0.34061762480454516
368.519,0.3500906262784013
368.619,0.331761079334944
368.819,0.3219354392499441
368.919,0.3499805211062695
369.119,0.31689424556374707
369.319,0.35825546243509043
369.419,0.35378326777000485
369.519,0.33242082444095783
369.619,0.33341852139221706
369.719,0.3234833877237312
369.819,0.32788637166552764
369.919,0.30197976748732147
370.019,0.3086487080474777
370.219,0.2834818658667539
370.319,0.3119078718793773
370.419,0.2802345794678367
370.519,0.28943126916576906
370.619,0.2981443080171734
370.719,0.2729925599817396
370.919,0.2781752983439806
371.02,0.3058682207934629
371.12,0.2927021978560343
371.22,0.27799675147135183
371.32,0.2576833501502839
371.42,0.26680321342193986
371.62,0.2531275590823947
371.72,0.24945833225298558
